"relation_id","source_iri","relationship_type","target_iri","source_file","ontology_format","loaded_at"
"malontrel::c59ada46a90c5206edb9fcf2","http://idea.rpi.edu/malont#CommandAndControl","rdfs:subClassOf","http://idea.rpi.edu/malont#Infrastructure","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::3b0e2775afe695b7bd9765df","http://idea.rpi.edu/malont#Country","rdfs:subClassOf","http://idea.rpi.edu/malont#Location","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::571b4815c1196c651badf661","http://idea.rpi.edu/malont#DDoS","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::61eed8a02c1729227195998d","http://idea.rpi.edu/malont#DomainName","rdfs:subClassOf","http://www.semanticweb.org/yeed3/ontologies/2020/5/untitled-ontology-16#Indicator","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::7e9e40db1859866c77282a6b","http://idea.rpi.edu/malont#Downloader","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::4909cb5b84aeeb5710aa1c0e","http://idea.rpi.edu/malont#Dropper","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::a8c4fecd5556f2bad0e995e2","http://idea.rpi.edu/malont#Exfiltration","rdfs:subClassOf","http://idea.rpi.edu/malont#Infrastructure","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::d751a77d6780510243ea5614","http://idea.rpi.edu/malont#Exploit-kit","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::9c916d8a6d4c9ba71e615541","http://idea.rpi.edu/malont#File","rdfs:subClassOf","http://www.semanticweb.org/yeed3/ontologies/2020/5/untitled-ontology-16#Indicator","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::1b1732f3f15b60ba0ae1c5e4","http://idea.rpi.edu/malont#Filepath","rdfs:subClassOf","http://www.semanticweb.org/yeed3/ontologies/2020/5/untitled-ontology-16#Indicator","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::e0111d93c300527b9397428f","http://idea.rpi.edu/malont#GeneralVirus","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::dbbc94b6aba9d582fcb0dad6","http://idea.rpi.edu/malont#Hardware","rdfs:subClassOf","http://idea.rpi.edu/malont#System","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::53cadd6984d7d84dc7dbb400","http://idea.rpi.edu/malont#Hash","rdfs:subClassOf","http://www.semanticweb.org/yeed3/ontologies/2020/5/untitled-ontology-16#Indicator","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::726b050925c7c36353efb054","http://idea.rpi.edu/malont#HostingMalware","rdfs:subClassOf","http://idea.rpi.edu/malont#Infrastructure","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::ad704dfd93cccfa66bba9efa","http://idea.rpi.edu/malont#HostingTargetLists","rdfs:subClassOf","http://idea.rpi.edu/malont#Infrastructure","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::db25333d51c3e9d80e680431","http://idea.rpi.edu/malont#Keylogger","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::133036b1ef7ddd7c7bb57533","http://idea.rpi.edu/malont#MD5","rdfs:subClassOf","http://idea.rpi.edu/malont#Hash","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::409ba41adf9b6545d47e8829","http://idea.rpi.edu/malont#Network","rdfs:subClassOf","http://www.semanticweb.org/yeed3/ontologies/2020/5/untitled-ontology-16#Indicator","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::a14428a701b08ee6be124f16","http://idea.rpi.edu/malont#OperatingSystem","rdfs:subClassOf","http://idea.rpi.edu/malont#Software","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::f8b75c6daa8cf1d92746cc81","http://idea.rpi.edu/malont#Phishing","rdfs:subClassOf","http://idea.rpi.edu/malont#Infrastructure","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::a7fd8b6447230dbd1fb1c2f4","http://idea.rpi.edu/malont#Port","rdfs:subClassOf","http://www.semanticweb.org/yeed3/ontologies/2020/5/untitled-ontology-16#Indicator","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::0ecf21aa3c5095fc9822e0b6","http://idea.rpi.edu/malont#Protocol","rdfs:subClassOf","http://www.semanticweb.org/yeed3/ontologies/2020/5/untitled-ontology-16#Indicator","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::f09f16563d0350bdc1b125ec","http://idea.rpi.edu/malont#Ransomware","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::3c8d102bc58065acd5efb206","http://idea.rpi.edu/malont#Reconnaissance","rdfs:subClassOf","http://idea.rpi.edu/malont#Infrastructure","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::8128d3d60ed945ae3687586a","http://idea.rpi.edu/malont#Region","rdfs:subClassOf","http://idea.rpi.edu/malont#Location","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::4e0955f98cfd98d2aa9da95b","http://idea.rpi.edu/malont#RemoteAccessTrojan-RAT","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"malontrel::c9c38dada38c527f4e2dc28d","http://idea.rpi.edu/malont#ResourceExploitation","rdfs:subClassOf","http://idea.rpi.edu/malont#Malware","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
