"source_attack_id","relationship_type","target_attack_id"
"S0260","uses","T1686"
"G0105","uses","T1200"
"S0373","uses","T1124"
"S9010","uses","T1213.006"
"S0035","uses","T1052.001"
"S0046","uses","T1059.003"
"S0185","uses","T1105"
"S1017","uses","T1059.003"
"M1032","mitigates","T1098.001"
"S1091","uses","T1648"
"G0049","uses","S1170"
"S0663","uses","T1071.004"
"G0067","uses","T1547.001"
"G0125","uses","T1110.003"
"T1003.002","subtechnique-of","T1003"
"S0211","uses","T1082"
"G1055","uses","T1113"
"G0028","uses","T1021.002"
"S0633","uses","T1027"
"S1085","uses","T1027.010"
"S1219","uses","T1543.004"
"G0034","uses","T1027.010"
"S0599","uses","T1083"
"G0096","uses","T1078"
"S0629","uses","T1036.005"
"G1032","uses","S0183"
"S0143","uses","T1210"
"G0010","uses","T1112"
"S0512","uses","T1012"
"T1109","revoked-by","T1542.002"
"M1056","mitigates","T1585.003"
"S0363","uses","T1557.001"
"S1145","uses","T1016"
"S0414","uses","T1053.005"
"G1001","uses","T1555"
"S0373","uses","T1564.003"
"S0089","uses","T1548.002"
"S1184","uses","T1059.004"
"G0087","uses","S0590"
"S0626","uses","T1497.003"
"S0250","uses","T1082"
"M1041","mitigates","T1659"
"G1014","uses","T1588.001"
"G0139","uses","T1569.003"
"S0634","uses","T1082"
"G1016","uses","S0357"
"G1046","uses","T1585.003"
"S9035","uses","T1047"
"M1018","mitigates","T1078.002"
"G1046","uses","T1074.001"
"S0611","uses","T1489"
"G0087","uses","T1547.001"
"S0513","uses","T1140"
"G1021","uses","T1574.001"
"S0670","uses","T1057"
"G0068","uses","T1189"
"G0016","uses","S0046"
"S0674","uses","T1082"
"T1219.003","subtechnique-of","T1219"
"S0267","uses","T1057"
"G0093","uses","S0100"
"S0481","uses","T1486"
"G1046","uses","T1667"
"S0625","uses","T1680"
"G0010","uses","T1069.001"
"G0051","uses","T1070.004"
"S0377","uses","T1014"
"G1032","uses","T1486"
"M1026","mitigates","T1505.004"
"T1542.003","subtechnique-of","T1542"
"S0650","uses","T1497.001"
"S0515","uses","T1105"
"S0367","uses","T1033"
"G0044","uses","T1014"
"S1041","uses","T1574.001"
"T1070.004","subtechnique-of","T1070"
"G0060","uses","T1005"
"S0658","uses","T1564.001"
"S0233","uses","T1018"
"S0593","uses","T1070.004"
"G0007","uses","T1589.001"
"G0125","uses","T1105"
"S0447","uses","T1566.001"
"S0198","uses","T1090"
"S0439","uses","T1003.005"
"G0061","uses","T1078"
"S1048","uses","T1685"
"S0475","uses","T1059.005"
"G0032","uses","T1566.001"
"S1227","uses","T1573.001"
"S0603","uses","T1082"
"S0331","uses","T1497"
"S1025","uses","T1083"
"G1001","uses","T1027.010"
"M1026","mitigates","T1556.005"
"S0021","uses","T1056.001"
"M1047","mitigates","T1053.003"
"S0091","uses","T1071.001"
"S1026","uses","T1071.001"
"G0020","uses","T1120"
"G0094","uses","T1587.001"
"S0445","uses","T1041"
"S0264","uses","T1074.001"
"S0659","uses","T1485"
"S0370","uses","T1070.004"
"S1027","uses","T1055.001"
"S1084","uses","T1090.002"
"S0013","uses","T1622"
"S0559","uses","T1497.003"
"S0098","uses","T1016"
"S0576","uses","T1685"
"G0082","uses","T1033"
