"attack_id","name","stix_id"
"G0083","SilverTerrier","intrusion-set--76565741-3452-4069-ab08-80c0ea95bbeb"
"G0041","Strider","intrusion-set--277d2f87-2ae5-4730-a3aa-50c1fdff9656"
"G1049","AppleJeus","intrusion-set--14225573-63b5-4e50-ba9a-5fdcaf6a7b4c"
"G0029","Scarlet Mimic","intrusion-set--c5574ca0-d5a4-490a-b207-e4658e5fd1d7"
"G1038","TA578","intrusion-set--a5cfbc79-316c-42f2-915d-6e8fef4085f8"
"G0023","APT16","intrusion-set--d6e88e18-81e8-4709-82d8-973095da1e70"
"G0002","Moafee","intrusion-set--2e5d3a83-fe00-41a5-9b60-237efc84832f"
"G0055","NEODYMIUM","intrusion-set--025bdaa9-897d-4bad-afa6-013ba5734653"
"G0017","DragonOK","intrusion-set--f3bdec95-3d62-42d9-a840-29630f6cdc1a"
"G0015","Taidoor","intrusion-set--59140a2e-d117-4206-9b2c-2a8662bd9d46"
"G1028","APT-C-23","intrusion-set--8332952e-b86b-486b-acc3-1c2a85d39394"
"G0042","MONSOON","intrusion-set--9559ecaf-2e75-48a7-aee8-9974020bc772"
"G0058","Charming Kitten","intrusion-set--92d5b3fd-3b39-438e-af68-770e447beada"
"G0057","APT34","intrusion-set--68ba94ab-78b8-43e7-83e2-aed3466882c6"
"G0097","Bouncing Golf","intrusion-set--049cef3b-22d5-4be6-b50c-9839c7a34fdd"
"G1029","UNC788","intrusion-set--1f322d74-4822-4d60-8f64-414eea8a9258"
"G1000","ALLANITE","intrusion-set--190242d7-73fc-4738-af68-20162f7a5aae"
"G1027","CyberAv3ngers","intrusion-set--a07a367a-146c-45a8-a830-d3d337b9befa"
