setup,dataset,method,seed,pred_path,metrics_path,f1,precision,recall,n_sentences,gen_time_s,total_time_s,wall_time_s,sharded,num_shards
e5_phi35,AnnoCTR,RAG,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed0_setup5_e5_phi35_seed0_20260526_184545.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed0_setup5_e5_phi35_seed0_20260526_184545.json,0.2891958382413326,0.47900775694893344,0.26461019630524274,1483,3526.5649292469025,3719.832312107086,,False,1
e5_phi35,AnnoCTR,RAG,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed1_setup5_e5_phi35_seed1_20260527_004547.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed1_setup5_e5_phi35_seed1_20260527_004547.json,0.2891958382413326,0.47900775694893344,0.26461019630524274,1483,3046.4635577201843,3340.5897586345673,,False,1
e5_phi35,AnnoCTR,RAG,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_seed2_setup5_e5_phi35_seed2_20260527_032051.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_seed2_setup5_e5_phi35_seed2_20260527_032051.json,0.2891958382413326,0.47900775694893344,0.26461019630524274,1483,3083.527698278427,3272.5760593414307,,False,1
e5_phi35,AnnoCTR,RAG+FSP,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_FSP_seed0_setup5_e5_phi35_seed0_20260526_184545.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_FSP_seed0_setup5_e5_phi35_seed0_20260526_184545.json,0.30129283001840984,0.36726961978509964,0.3051716064293464,1483,2981.9555213451385,3163.2539246082306,,False,1
e5_phi35,AnnoCTR,RAG+FSP,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_FSP_seed1_setup5_e5_phi35_seed1_20260527_004547.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_FSP_seed1_setup5_e5_phi35_seed1_20260527_004547.json,0.30129283001840984,0.36726961978509964,0.3051716064293464,1483,2685.1966626644135,2977.5102803707123,,False,1
e5_phi35,AnnoCTR,RAG+FSP,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/AnnoCTR_RAG_FSP_seed2_setup5_e5_phi35_seed2_20260527_032051.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/AnnoCTR_RAG_FSP_seed2_setup5_e5_phi35_seed2_20260527_032051.json,0.30129283001840984,0.36726961978509964,0.3051716064293464,1483,2594.2481400966644,2776.2323796749115,,False,1
e5_phi35,TRAM2,RAG,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_seed0_setup5_e5_phi35_seed0_20260526_184545.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_seed0_setup5_e5_phi35_seed0_20260526_184545.json,0.4389935476978949,0.5275062397515708,0.41095053270575094,3820,10750.819009542465,11203.841067314148,,False,1
e5_phi35,TRAM2,RAG,1,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_seed1_setup5_e5_phi35_seed1_20260527_004547.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_seed1_setup5_e5_phi35_seed1_20260527_004547.json,0.4389935476978949,0.5275062397515708,0.41095053270575094,3820,8740.352300167084,9285.51444721222,,False,1
e5_phi35,TRAM2,RAG,2,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_seed2_setup5_e5_phi35_seed2_20260527_071609.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_seed2_setup5_e5_phi35_seed2_20260527_071609.json,0.4389935476978949,0.5275062397515708,0.41095053270575094,3820,9016.778999999995,,2435.5990715026855,True,4
e5_phi35,TRAM2,RAG+FSP,0,/home/azureuser/ttp_table9_method_replication/outputs/predictions/TRAM2_RAG_FSP_seed0_setup5_e5_phi35_seed0_20260526_184545.jsonl,/home/azureuser/ttp_table9_method_replication/outputs/metrics/TRAM2_RAG_FSP_seed0_setup5_e5_phi35_seed0_20260526_184545.json,0.5147948196393342,0.4886116475510344,0.5812087943681872,3820,9941.613465309143,10399.898705482483,,False,1
